Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
Alloway 2012,Blank,arithmetic,posttest,0.6100,8,7,1,0.5741,0.4983,untreated,children,large,r,l,WOND,Blank,other,13,12.9,Children with learning difficulities. To determine that control & training group were not different- series of Mann-Whitney test carried out in pre-training assessment.,"3 phases:                                                           Pretest- Training(or control)- Single Session lasting approx. 40 min.                                    Pottest Training: 3 times a week, 30 minute sessions for 8 weeks. Approx. 25 days of training.                                                          Posttest: single session lasting approx. 40 min. ",Jungle Memory (2008),published,8m,Pre & posttest fixed sequence. Random assignment. 
Alloway 2012,Blank,verbal reasoning,posttest,1.1900,8,7,1,1.1200,0.5283,untreated,children,large,r,l,WASI Vocab.,Blank,other,13,12.9,Children with learning difficulities. To determine that control & training group were not different- series of Mann-Whitney test carried out in pre-training assessment.,"3 phases:                                                           Pretest- Training(or control)- Single Session lasting approx. 40 min.                                    Pottest Training: 3 times a week, 30 minute sessions for 8 weeks. Approx. 25 days of training.                                                          Posttest: single session lasting approx. 40 min. ",Jungle Memory (2008),published,8m,Pre & posttest fixed sequence. Random assignment. 
Alloway 2012,Blank,verbal vm,posttest,1.6000,8,7,1,1.5059,0.5593,untreated,children,large,r,l,wm for letters,Blank,other,13,12.9,Children with learning difficulities. To determine that control & training group were not different- series of Mann-Whitney test carried out in pre-training assessment.,"3 phases:                                                           Pretest- Training(or control)- Single Session lasting approx. 40 min.                                    Pottest Training: 3 times a week, 30 minute sessions for 8 weeks. Approx. 25 days of training.                                                          Posttest: single session lasting approx. 40 min. ",Jungle Memory (2008),published,8m,Pre & posttest fixed sequence. Random assignment. 
"Alloway, et al.  2013 comp 2",com 2 passive c,arithmetic,follow up,0.3400,11,24,1,0.3322,0.3580,untreated,children,large,r,l,WOND,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,arithmetic,posttest,0.1700,23,39,1,0.1679,0.2600,untreated,children,large,r,l,WOND,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,verbal reasoning,follow up,1.4200,11,24,1,1.3875,0.3925,untreated,children,large,r,l,WASI,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,verbal reasoning,posttest,0.5000,23,39,1,0.4937,0.2634,untreated,children,large,r,l,WASI,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,verbal working memory,follow up,1.3000,11,24,1,1.2702,0.3868,untreated,children,large,r,l,Automated working memory asessment,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,verbal working memory,posttest,1.0500,23,39,1,1.0368,0.2758,untreated,children,large,r,l,Automated working memory asessment,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,visual working memory,follow up,1.6800,11,24,1,1.6415,0.4063,untreated,children,large,r,l,shape recall test,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp 2",com 2 passive c,visual working memory,posttest,0.6700,23,39,1,0.6616,0.2663,untreated,children,large,r,l,shape recall test,Blank,other,10.11,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,arithmetic,follow up,0.3500,11,19,1,0.3405,0.3712,treat,children,large,r,l,WOND,x,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,arithmetic,posttest,-0.1700,23,32,1,-0.1676,0.2700,treat,children,large,r,l,WOND,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
